# address	blocked-by	reason	kind	semantic-state	evidence-providers	fingerprint
0x00401FB0	-	needs source evidence for argument register homes after the scoped remaining count scored 67.31% versus the 33.33% baseline
0x004025C0	-	Typed TokenDialogueEntry source and an explicit two-exit loop both compile at 55.38%; retail anchors the cursor on dialogueRecordIndex, while VC6 anchors it on subtitle. Only a raw negative-index cursor reproduces the retail anchor.
0x00402A10	-	Complete typed command interpreter with scaled path coordinates scored 25.79%; an explicit input-lock lifetime was neutral. Retail uses a different command/path pointer lifetime model across the whole 2624-byte body, and raw RecordData indexing would conceal the established data model.
0x004076F0	-	The 4096-byte movement interpreter depends on unnamed actor fields, unknown command opcodes, and an indirect behavior callback. No reconstructed sibling or reference identifies the complete state model.
0x0040B9D0	-	The complete DirectDraw flow stays at 76.19%. Four natural forms only change the compiler's shared zero register.
0x00410410	-	The complete particle and light flow stays at 61.40%. Four natural loop and random-cursor forms only change register allocation.
0x004106C0	-	The complete burst-ring flow stays at 87.60%. Declaration order is neutral, and only a dead parameter slot and pointer-compare opcode differ.
0x00412FF0	-	The typed resource creation and cleanup flow is complete at 88.89%. Only block placement and scratch-register selection remain.
0x00414550	-	The complete record fixup stays at 71.75%. Declaration order is neutral, and cursor advance before height regresses to 70.03%.
0x004157E0	-	The byte edge test and state update are complete; two natural forms leave only the prior-state byte register home and score at most 42.86%.
0x0041BEE0	-	The complete link update stays at 81.58%. Reusing the dead vector matches retail lifetime reuse but shrinks the frame and regresses to 78.42%.
0x0041E020	-	The typed interpolation body stays at 89.08% and matches after setup. Fraction-first declaration order regresses to 65.52%.
0x00425A80	-	The loop bounds, actor layout, unsigned speed guard, coordinate transform, and roll store are established. Relative-Z and preserved-Z forms score 63.64% and 55.32%; the remaining best-form diff is boundary.y CSE versus a retail reload (CAP-15), which also adds EDI.
0x0042B3A0	-	A complete typed encounter controller reached 64.63%; the retail flare scan keeps a separate byte-offset cursor and local/register layout that natural RecordData access did not reproduce, so the target remains below the validation gate.
0x0042C200	-	The typed interpolation is complete at 89.08%. Four natural fraction and index forms only alter register allocation.
0x0042E790	-	A complete typed level interaction model reached 61.44%; the retail function's shared local and flare-loop layout did not follow the natural structured form, so the target remains below the validation gate.
0x0042FC50	-	Complete typed level interaction controller reached 71.29% after explicit floor-link rotations, fixed-point separation truncation, direct actor accesses, and typed flare/light records. Remaining differences span register and local lifetimes across the 3296-byte body; validation requires 75%, and lowering the data model to raw record indexing would conceal established types.
0x00433700	-	The complete behavior and ABI are supported, but the accepted structured source scores 59.13%. A pointer-walk contact scan reached 61.20%, explicit one-based rider pointer construction reached 61.35%, and cached or direct landing-height reads and direction-input byte forms were neutral. The remaining differences span local lifetimes and control-flow layout across the rider state machine.	source-form	ready	-	7572bb5bc0ecf276
0x004343D0	-	The complete fixed-angle movement update scores 70.90%; nine natural forms leave only the two long-lived speed register homes unresolved.
